à	在；向，到；给……prép.
Tu as déjà mangé	你已经吃过(“avoir déjà + 过去分词” 构成复合过去时的一种形式,“déjà” 表示 “已经” )
maman	妈妈(名词)
On travaille un peu	我们有点工作。
si	是否,连接 “我不知道” 的内容
que	连接词,引导宾语从句(引出 “你知道” 的具体内容)
un examen de français	一次法语考试
en mai 2025	在2025年5月
je ne sais pas si tu sais que tu vas passer un examen de français en mai 2025	我不知道你是否知道你将在2025年5月参加法语考试。
Comment s'appelle l'examen	这次考试叫什么名字?
DELF A2	法语语言能力考试A2级
Les nouvelles de cette semaine	本周新闻
un film américain	一部美国电影
J'ai vu un film américain chez moi	我在家看了一部美国电影。
acteurs	演员(复数)
C'est un film français mais avec des acteurs américains	这是一部法国电影,但是演员是美国人。
La réalisatrice est française et l'argent aussi	导演是法国人,资金也是。
ça fait peur ce film	这部电影很吓人。
Je suis maintenant en vacances d'hiver	我现在放寒假。
être en vacances	放假
Je suis très contente	我很高兴。
tu vas faire	你将要做(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事;“faire” 是动词原形,意为 “做” )
Je vais avoir des cours de maths, de français et de physique	我将要上数学、法语和物理课。
Je vais voyager avec mes grands-parents	我将和我的祖父母一起旅行。
On ne sait pas encore	我们还不知道。
Tes parents restent à Shanghaï	你的父母在上海。
Camille, la leçon est terminée	卡米尔,课程结束了。
Ton nom de famille en chinois c'est Ji	你的中文姓氏是吉。
Ton prénom chinois c'est Lichen	你的中文名字是李晨。
Tu as un prénom français c'est Camille	你有一个法国名字,叫卡米尔。
Se présenter	介绍自己
se présenter en français	用法语介绍自己
Présenter le cours	介绍课程(Présenter + le + 名词,表示 “介绍某个东西” )
Où est-ce que tu as appris le français	你在哪里学的法语?
J'ai appris le français au lycée Ganquan	我在甘泉中学学的法语。
peux	能(pouvoir的现在式第一人称单数形式)
Tu peux en acheter à Shanghai	你可以在上海买到。(en:代替前面提到的 “galette des rois” 中的部分内容,作宾语。)
Maman va acheter une galette	妈妈要买一个蛋糕。(“aller + 动词原形” 构成最近将来时,表示即将或打算做某事。)
vu	看见(voir的过去分词)
réalisatrice	导演(女性)
l'argent	钱,资金(名词)
fait peur	吓人(动词 “faire”(做)和名词 “peur”(恐惧)构成动词短语,表示 “吓人” )
hiver	冬天
d'hiver	冬季的(“de” 在这里表示所属关系)
Tu es contente	你高兴吗?
Qu'est-ce que tu vas faire pendant les vacances	你放假时要做什么?
Vous allez aller où	你们要去哪里?
encore	还(副词)
restent	停留,留下;保持(rester的第三人称复数形式)
terminée	结束了(过去分词)(与 “la leçon” 一起构成动词短语,表示 “课程结束了” )
appris	学习(apprendre的过去分词)
Cette année tu apprends le français	今年你在学法语。
Je suis en seconde au lycée Ganquan	我在甘泉中学读高一。
Est-ce que tu aimes ça le français au lycée	你喜欢在学校学法语吗?
premier	第一(形容词)(1er)
Ce cours c'est le 1er cours	这是第一节课。
l'on	人称代词“on”(我们)
va faire	将要做(“aller + 动词原形” 构成最近将来时,表示即将要做的动作;“faire” 是动词原形,意为 “做” )
Qu'est-ce que l'on va faire	我们要做什么?
Ta mère est en cours avec nous	你母亲和我们一起在上课(“être en cours” 表示 “在上课” )
te	你(间接宾语人称代词)表示动作 “présenter(介绍)” 的对象。
allé	去(aller的过去分词)
au	在; 到(à + le = au)
côté	旁,侧n.m.通常用来表示物体的侧面或与某事物的关系。
Il habite à côté	他住在旁边。
À côté de la table	在桌子旁边。
cuillère	勺,匙n.f.
Il est devant moi	他在我面前。
droite	右面,右边,右方
Le café est à droite du cinéma	咖啡馆在电影院的右边。
étagère	格,隔板,架子;多层架子n.f.
fauteuil	扶手椅n.m.
fenêtre	窗户;窗子,窗户,玻璃窗n.f.
fleur	“花”。它是一个阴性名词
gauche	左边,左面n.f.
En Angleterre le voitures roulent à gauche	在英国,汽车靠左行驶。
Anna est à gauche de Sophie	安娜在索菲的左边
Il y a une table à côté de la chaise	椅子旁边有一张桌子
meuble	家具n.m.
mur	墙壁n.m
objet	物体;物品,东西n.m.
ordinateur	电脑n.m.
pièce	房间n.f.
porte	戴,带,穿;门n.f.
que	什么pron.interr.
sac	包n.m.
Le chat est sous la table	猫在桌子下面。
Le livre est sur l'étagère	书在书架上。
voilà	这就是prep;看,在这里
le vase	花瓶n.m.
Il y a des fleurs dans le vase	花瓶里有花
sur	在..上面prep=On
devant	在......前面prep
contre	紧挨着
à gauche de	在左边
à droite de	在右边
à côté de	在...的旁边=nextto
Elle est à côté de lui	她在他的旁边
autre	另一个的,别的,另外的adj
des baskets	篮球鞋,运动鞋(一般用复数)n.f.
bleu	蓝色的adj,阳性单数
bleue	蓝色的adj,阴性单数
blond	金色的,金色头发
blonde	金色的,金色头发(阴性单数)
brune	棕色的(阴性)
brun	棕色的
chaussure	鞋;鞋子,靴n.f.
chemise	男式衬衫n.f.
pendant	在...期间
roulent	行驶(动词“rouler”的第三人称复数形式)
Vendredi	(星期五)
Vendredi 24 janvier 2025	“2025 年 1 月 24 日,星期五”
Il en reste 14	还剩下 14 个
Je vais te présenter le DELF A2	我将向你介绍 DELF A2(法语等级考试)
C'est un examen de français	这是一项法语考试。
4 parties   "4部分"
écouter	听
lire	读
écrire	写(ECRIRE)
parler	说
Regarder les examens blancs,il y en a 4	看看这些空白试卷,有 4 个
choisir	选择(原形)
Je choisis un sujet	我选择一个主题(题目)
Tu choisis un sujet	你选择一个主题(题目)
Il choisit un sujet	他选择一个主题(题目)
Nous choisissons un sujet	我们选择一个主题(题目)
Vous choisissez un sujet	你们选择一个主题(题目)
Ils choisissent un sujet	他们选择一个主题(题目)
exprimez-vous	表达你们自己
sur	关于;在......上
Vous vous exprimez sur le sujet	你们表达关于这个主题的看法
L'examinateur	考官(阳性名词)
pouvoir	能够(原形)
ensuite	然后,接着
poser des questions	提出问题
SUJET 1	主题 1
Les saisons	季节(阴性名词)
En France, il y a 4 saisons	在法国,有 4 个季节
L'été	夏天(阳性名词)
L'automne	秋天(阳性名词)
L'hiver	冬天(阳性名词)
préférée	最喜欢的(阴性形容词)
préféré	最喜欢的(阳性形容词)
Quelle est votre saison préférée	“您最喜欢的季节是哪个?”
Pourquoi	为什么?
Je fais du sport en général	通常我做运动
Que faites-vous en général pendant cette saison	通常在这个季节你们做什么?
Ma saison préférée c'est l'automne	我最喜欢的季节是秋天
cool	酷(形容词)
le temps qu'il fait	“它所呈现的天气”(“qu'il fait” 是一个关系从句,用来修饰 “le temps”)
en automne	在秋天
C'est cool parce que le temps qu'il fait en automne à Shanghai est agréable	这很棒,因为上海秋天的天气很宜人。
trop	副词,意为 “太,过于”
exprimer	表达(原形)
poser	提出(原形)
complémentaires	补充的
L'examinateur peut ensuite vous poser des questions complémentaires	考官随后可能会向你提出一些补充性问题
Le printemps	春天(阳性名词)
en général	通常(副词),作状语
agréable	“宜人的、舒适的”(形容词)
chaud	热的(形容词)
Il ne fait pas trop chaud	“天气不是太热”
froid	冷的(形容词)
il ne fait pas trop froid	“天气不是太冷”
il ne pleut pas beaucoup en automne	“秋天不常下雨”
Je ramasse	我捡起(第一人称单数)
feuilles	树叶(阴性名词)
Je ramasse les feuilles en automne et j'aime ça	我在秋天捡树叶,而且我喜欢这样做(ça:指示代词,指代前面提到的 “ramasse les feuilles en automne(在秋天捡树叶)” 这件事,作 “aime” 的宾语 )
SUJET 2	主题 2
L'habitat	阳性名词,居住环境
Comment est votre chambre	“你的房间怎么样?”
Où est-elle dans la maison	“它在房子里的哪里?”
Qu'est-ce qu'il y a dedans	“里面有什么?”
décorée	装饰的(过去分词)
Comment est-elle décorée	“它(阴性)是如何装饰的?”(“être + 过去分词” 的被动语态结构中,表示 “被装饰”   )
J'habite dans un appartement à Shanghai, j'ai ma chambre.	我住在上海的一个公寓里,我有自己的房间。
Ma chambre est petite	我的房间很小
Il y a un lit, un bureau, une lampe, deux étagères, une chaise, deux fenêtres, un ordinateur.	我的房间里有一张床,一张书桌,一盏灯,两个架子,一把椅子,两个窗户,一台电脑。
canapé	沙发(阳性名词)
Il y a aussi un canapé	还有一张沙发。
J'aime bien ma chambre	我很喜欢我的房间。
J'aime bien voyager	我很喜欢旅行。
En Chine, j'ai voyagé à Pékin	在中国,我去过北京。
Thaïlande	泰国(阴性名词)
Japon	日本(阳性名词)
A l'étranger, j'ai voyagé en Thaïlande, en Corée, au Japon	在国外,我去过泰国,韩国,日本。
J'aimerais voyager en France	我想去法国旅行。
Je vais bien	我很好
aller bien	意为“身体健康,情况良好”
mal	是副词,意思是“不好”或“糟糕”。
aller mal	意为“身体不舒服,情况不好”
Est-ce que tes parents vont bien	你父母身体好吗?
Mes parents vont bien	我父母身体好。
beau	形容词,意为“美丽的,漂亮的”;在这里指“天气好”
Est-ce qu'il fait beau à Shanghai	上海天气好吗?
Oui, il fait beau à Shanghai	是的,上海天气好。
Non, il ne fait pas beau à Shanghai	不,上海天气不好。
Est-ce qu'il fait froid à Shanghai	上海天气冷吗?
ça va, il ne fait pas trop froid à Shanghai	还好,上海天气不是太冷。
Non, il ne pleut pas à Shanghai	不,上海不下雨。
Non, il y a une tempête à Paris	不,巴黎有暴风雨。
un peu	副词,意为“一点儿”
oui, il pleut à Paris	是的,巴黎下雨。
ramasser	捡起(动词)
dedans	在里面(副词)
décorer	装饰(动词原形)
Corée	韩国(阴性名词)
aimerais	是动词 aimer(喜欢)的条件式现在时,表示一种愿望或礼貌语气,翻译为“想”或“希望”。(原形:aimer)
Est-ce qu'il pleut à Shanghai	上海下雨吗?
tempête	意为“暴风雨”;风暴(阴性名词)
Je fais	我做(第一人称单数)
Qu'est-ce que tu as fait aujourd'hui	你今天做了什么?
un cours de maths et un cours de physique	一节数学课和一节物理课
c'est tout	就这些
j'ai aussi fait mes devoirs	我还做了作业
faire ses devoirs	做作业
Est-ce que tu es sortie aujourd'hui	你今天出去了吗?
sortir	出去 出门
Je sors	我出去(第一人称单数)
Tu sors	你出去
Il sort	他出去
Nous sortons	我们出去
Vous sortez	你们出去
Ils sortent	他们出去
restée	是动词 rester(呆,停留)的过去分词。由于主语是女性单数形式,所以过去分词 resté 变为 restée,表示女性主语。
je suis restée à la maison	我呆在家里(第一人称单数)
A Paris, il est 13h10	巴黎现在是13点10分"treize heures dix"
Je suis sorti aujourd'hui	我今天出去了
Je suis allé faire du sport	我去做运动了
Je suis allé au cinéma à 10h15	我10点15分去看电影"dix heures quinze"
Mes parents ont travaillé aujourd'hui	我父母今天工作了
toute	副词,意为“整个”(toute la journée:整天)
Ils étaient à la maison toute la journée	他们一整天都在家
est sorti	是动词 sortir(出去)的过去分词形式,使用 être 作为助动词。
Mon père est sorti	我父亲出去了
Ma mère est allée à l'hôpital	我母亲去医院了
Ma grand-mère est malade	我奶奶生病了
Ma grand-mère a mal à la tête	我奶奶头疼
avoir mal à la tête	头疼
dents	是“牙齿”(阴性名词)
avoir mal aux dents	牙疼
ventre	是“肚子”(阳性名词)
avoir mal au ventre	肚子疼
je suis allée deux fois à l'hôpital	我去了两次医院
j'avais des problèmes de peau	我有皮肤问题
ça va maintenant	现在好了吗?
avoir des allergies	过敏(des 是不定冠词的复数形式,表示一些)
mardi, je suis sortie avec mes trois amies	星期二,我和我的三个朋友一起出去。
où est-ce que vous êtes allée	你们去哪里了?
faire du shopping	逛街购物
Tu as acheté quelque chose	你买了什么?
sortie	是动词 sortir(出去)的复合过去时形式
Tu es sortie à quelle heure mardi	星期二你几点出去的?
devoirs	作业(阳性名词)
ses	是 il/elle(他/她)的所有格形容词,表示“他的/她的/它的”。
Ils étaient	是动词 être(是)的 第三人称复数 未完成过去时(imparfait)变位,表示“他们在...”。
la tête	是“头”(阴性名词)
peau	皮肤(阴性)
J'ai la peau douce	我的皮肤很嫩
j'ai acheté une glace	我买了一个冰淇淋
Je suis sortie à 13h30	我13点30分出去的 "treize heures trente"
tu es rentrée à 17h00	你17点回来的"dix-sept heures"
le nouvel an chinois	:表示“中国新年”,nouvel an 是“新年”,chinois 表示“中文的,或中国的”。
les chinois	:表示“那些中国人”,les 是定冠词复数形式,chinois 是形容词,也可以作为名词,指代“中国人”。
Pour fêter le nouvel an chinois, les chinois qui vivent à Paris on mis des lanternes	为了庆祝中国新年,住在巴黎的中国人挂了灯笼。
Le nouvel an chinois	春节
C'est bientôt	:表示“快到了”,bientôt 是副词,表示“很快,马上”。
C'est bientôt, le nouvel an chinois	很快就是中国新年了。
C'est quand	是什么时候?
Le nouvel an chinois, c'est le mardi 28 janvier 2025	中国新年是2025年1月28日星期二。
un serpent	一条蛇(阳性名词)
Moi je suis lapin et toi	我是兔子,你呢?
Camille est bœuf	卡米尔是牛
quartier chinois	:表示“华人区”,quartier 是名词,表示“区,街区”,chinois 是形容词,表示“中国的”。
Qu'est-ce que l'on fait dans le quartier chinois de Belleville	在贝尔维尔的中国区我们做什么?
on va faire les courses	我们去买东西
on va au restaurant	我们去餐馆
la danse des lions	:表示“舞狮表演”,danse 是“舞蹈”的名词,des lions 是“狮子们”的复数形式。
Samedi, il y a la danse des lions à Belleville	星期六,在贝尔维尔有舞狮表演。
